,Alert,IQR,Kurto,Entro,Skewn,Sex,Comp,Picos,Umbral,Gama
1149,FALSE,0.7916,2.7084,1.4516,0.1488,Hombre,Robust,2,21.9047,Alta
1150,FALSE,0.6985,5.7997,1.3465,1.1542,Hombre,Robust,1,25.2095,Media
1151,FALSE,0.6318,2.9957,1.2541,0.2693,Hombre,Robust,1,18.2144,Media
1152,FALSE,0.5781,3.1298,1.3426,0.5853,Hombre,Robust,0,15.9263,Media
1153,FALSE,0.5921,2.6965,1.3691,0.7312,Hombre,Robust,1,19.1822,Media
1154,FALSE,0.6483,2.0933,1.455,0.5774,Hombre,Robust,2,17.1125,Media
1155,FALSE,1.727,6.312,1.4845,1.5506,Hombre,Robust,2,26.0784,Media
1156,FALSE,0.6777,2.2532,1.35,0.1597,Hombre,Robust,1,15.6543,Media
1157,FALSE,0.3174,3.3987,1.1973,0.3506,Hombre,Robust,1,19.4034,Media
1158,FALSE,0.4026,3.4318,1.255,0.4758,Hombre,Robust,2,17.4714,Media
1159,FALSE,0.3838,2.7293,1.4641,0.2164,Hombre,Robust,1,18.9037,Media
1160,FALSE,3.8529,6.657,1.5665,1.7115,Hombre,Robust,2,20.3639,Alta
1161,FALSE,2.582,4.6673,1.5875,1.7371,Hombre,Robust,3,18.976,Media
1162,FALSE,2.3877,6.7193,1.5822,2.0606,Hombre,Robust,4,29.8309,Media
1163,FALSE,2.1154,8.8001,1.4775,2.3285,Hombre,Robust,2,31.878,Media
1164,FALSE,3.0252,5.39,1.5907,1.8217,Hombre,Robust,3,28.1256,Media
1165,FALSE,3.036,26.0953,1.0467,4.2464,Hombre,Robust,1,80.6382,Alta
1166,FALSE,2.8626,6.19251,1.6447,2.0623,Hombre,Robust,3,17.1474,Alta
1167,FALSE,3.3776,5.57716,1.5616,1.9328,Hombre,Robust,3,15.8277,Alta
1168,FALSE,1.155,30.7624,1.0238,4.5745,Hombre,Robust,1,30.4439,Alta
1169,FALSE,1.9617,7.59855,1.3816,1.792,Hombre,Robust,1,15.1972,Alta
1170,FALSE,3.016,6.32185,1.6486,2.0985,Hombre,Robust,3,17.2957,Alta
1171,FALSE,4.0931,4.65637,1.6499,1.7965,Hombre,Robust,5,15.9235,Alta
1172,FALSE,3.8854,4.54698,1.6542,1.4722,Hombre,Robust,3,15.2266,Alta
1173,FALSE,4.0697,6.08402,1.6059,2.0019,Hombre,Robust,3,17.7936,Media
1174,FALSE,3.224,6.88018,1.4914,2.3162,Hombre,Robust,3,16.5281,Media
1175,FALSE,2.9527,5.97001,1.5626,1.9468,Hombre,Robust,3,17.615,Media
1176,FALSE,3.9703,4.63935,1.6892,1.7606,Hombre,Robust,3,17.7721,Media
1177,FALSE,3.4101,6.29178,1.5836,2.0114,Hombre,Robust,3,17.8399,Media
1178,FALSE,1.446,13.1732,1.2019,1.9417,Hombre,Robust,1,15.8572,Media
